metric,higher_is_better,domain,mask_severity,placement_a,placement_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,df,p_raw,p_bonferroni,cohens_d,significant_05_adj,significant_01_adj
psnr,True,imagenet-simple,5,top_left,top_right,1926,24.278049,23.737946,0.540103,6.139526,3.8607,1925,0.0001167777318928864,0.0011677773189288638,0.088,True,True
psnr,True,imagenet-simple,5,top_left,center,1926,24.278049,21.047019,3.23103,7.656735,18.5193,1925,1.3583438846306684e-70,1.3583438846306683e-69,0.422,True,True
psnr,True,imagenet-simple,5,top_left,bottom_left,1926,24.278049,22.892308,1.385742,7.107427,8.5565,1925,2.3364039049336182e-17,2.336403904933618e-16,0.195,True,True
psnr,True,imagenet-simple,5,top_left,bottom_right,1926,24.278049,22.331073,1.946976,7.409017,11.5326,1925,8.401992243009601e-30,8.401992243009601e-29,0.2628,True,True
psnr,True,imagenet-simple,5,top_right,center,1926,23.737946,21.047019,2.690927,7.294914,16.1886,1925,2.318570330344346e-55,2.318570330344346e-54,0.3689,True,True
psnr,True,imagenet-simple,5,top_right,bottom_left,1926,23.737946,22.892308,0.845638,6.911034,5.3699,1925,8.829434034192864e-08,8.829434034192864e-07,0.1224,True,True
psnr,True,imagenet-simple,5,top_right,bottom_right,1926,23.737946,22.331073,1.406873,6.89469,8.9551,1925,7.810649362079407e-19,7.810649362079407e-18,0.2041,True,True
psnr,True,imagenet-simple,5,center,bottom_left,1926,21.047019,22.892308,-1.845289,7.241201,-11.1836,1925,3.5494906049124425e-28,3.549490604912442e-27,-0.2548,True,True
psnr,True,imagenet-simple,5,center,bottom_right,1926,21.047019,22.331073,-1.284054,7.278511,-7.7423,1925,1.5661080076064295e-14,1.5661080076064294e-13,-0.1764,True,True
psnr,True,imagenet-simple,5,bottom_left,bottom_right,1926,22.892308,22.331073,0.561234,5.699588,4.3214,1925,1.6291640498227715e-05,0.00016291640498227713,0.0985,True,True
psnr,True,imagenet-simple,10,top_left,top_right,1926,22.395457,22.131555,0.263902,6.116428,1.8935,1925,0.05843646172625837,0.5843646172625837,0.0431,False,False
psnr,True,imagenet-simple,10,top_left,center,1926,22.395457,19.433129,2.962328,7.080212,18.3618,1925,1.6161940008438582e-69,1.6161940008438583e-68,0.4184,True,True
psnr,True,imagenet-simple,10,top_left,bottom_left,1926,22.395457,21.097166,1.298291,6.750795,8.4401,1925,6.144595568197164e-17,6.144595568197163e-16,0.1923,True,True
